openalex_id,title,retrieved_by,n_queries
https://openalex.org/W1826597181,The Big Bang Theory: Mad Geniuses and the Freak Show of Higher Education,Q6,1
https://openalex.org/W1831183671,Acceptability and Accuracy of Cervical Cancer Screening Using a Self-Collected Tampon for HPV Messenger-RNA Testing among HIV-Infected Women in South Africa,Q2,1
https://openalex.org/W1831948972,A topologically twisted index for three-dimensional supersymmetric theories,Q1,1
https://openalex.org/W1860589458,Statistics: a Data Science for the 21st Century,"Q1, Q7, Q8",3
https://openalex.org/W1870208310,Development of Patient Motion Tracking System during Radiation Therapy,Q6,1
https://openalex.org/W1885736912,"Cardiovascular diseases in populations: secular trends and contemporary challenges—Geoffrey Rose lecture, European Society of Cardiology meeting 2014",Q2,1
https://openalex.org/W1917937632,"Organ Preservation in Rectal Adenocarcinoma: a phase II randomized controlled trial evaluating 3-year disease-free survival in patients with locally advanced rectal cancer treated with chemoradiation plus induction or consolidation chemotherapy, and total mesorectal excision or nonoperative management",Q2,1
https://openalex.org/W1925052508,Optimal management of a stochastically varying population when policy adjustment is costly,"Q1, Q7",2
https://openalex.org/W1932162813,You Are Not Working for Me; I Am Working with You,Q1,1
https://openalex.org/W1957967181,Timing and extent of response in colorectal cancer: critical review of current data and implication for future trials,Q2,1
https://openalex.org/W1958255983,Rating Scales in Survey Research: Using the Rasch model to illustrate the middle category measurement flaw,Q2,1
https://openalex.org/W1962164726,Vibrational properties and bonding nature of Sb<sub>2</sub>Se<sub>3</sub>and their implications for chalcogenide materials,Q1,1
https://openalex.org/W1963051245,Tuberculosis associates with both airflow obstruction and low lung function: BOLD results,Q2,1
https://openalex.org/W1965948262,New approximations of the total variation and filters in Imaging,Q1,1
https://openalex.org/W1966517122,Towards Reproducibility in Scientific Workflows: An Infrastructure-Based Approach,Q1,1
https://openalex.org/W1968641110,Automated Peripheral Sensory Neuropathy Assessment of Diabetic Patients Using Optical Imaging and Binary Processing Techniques,Q2,1
https://openalex.org/W1976467197,Pulmonary Function Testing and Outcomes in Subjects With Heart Failure Listed for Heart Transplantation,Q2,1
https://openalex.org/W1982725962,The Influence of Hospital Volume on Circumferential Resection Margin Involvement,Q2,1
https://openalex.org/W1985307672,Comparison of three protocols for measuring the maximal respiratory pressures,Q2,1
https://openalex.org/W1986902131,"Exposure to Fine Particles by Mine Tailing and Lung Function Effects in a Panel of Schoolchildren, Cha&amp;#241;aral, Chile",Q2,1
https://openalex.org/W1993712720,Understanding thio-effects in simple phosphoryl systems: role of solvent effects and nucleophile charge,Q1,1
https://openalex.org/W1996620203,An inter-laboratory comparison assessing the quality of seawater carbon dioxide measurements,Q6,1
https://openalex.org/W2015527486,"Appraisal of within- and between-laboratory reproducibility of non-radioisotopic local lymph node assay using flow cytometry, LLNA:BrdU-FCM: Comparison of OECD TG429 performance standard and statistical evaluation",Q2,1
https://openalex.org/W2016657236,Wavelet‐artificial immune system algorithm applied to voltage disturbance diagnosis in electrical distribution systems,Q1,1
https://openalex.org/W2020417846,Transport properties of H-mode plasmas with dominant electron heating in comparison to dominant ion heating at ASDEX Upgrade,Q6,1
https://openalex.org/W2022359341,Bending of Light in Quantum Gravity,Q1,1
https://openalex.org/W2039604107,Modelling soil erosion at European scale: towards harmonization and reproducibility,Q1,1
https://openalex.org/W2041952344,Pathologic Processing of the Total Mesorectal Excision,Q2,1
https://openalex.org/W2049776754,An invariant framework for conducting reproducible computational science,Q1,1
https://openalex.org/W2052798451,Advanced Mechanical Ventilatory Constraints During Incremental Exercise in Class III Obese Male Subjects,Q2,1
https://openalex.org/W2055335745,Ten Simple Rules for Reducing Overoptimistic Reporting in Methodological Computational Research,Q1,1
https://openalex.org/W2057866980,Balance assessment in people with chronic obstructive pulmonary disease,Q2,1
https://openalex.org/W2065074434,"Sensitivity of <i>Ascochyta</i> Species Infecting Pea, Lentil, and Chickpea to Boscalid, Fluxapyroxad, and Prothioconazole",Q4,1
https://openalex.org/W206683599,Using Crowd-Sourced Data to Quantify the Complex Urban Fabric—OpenStreetMap and the Urban–Rural Index,Q2,1
https://openalex.org/W2068706614,Witten index and wall crossing,Q1,1
https://openalex.org/W208427836,Generation of Highly Purified Human Cardiomyocytes from Peripheral Blood Mononuclear Cell-Derived Induced Pluripotent Stem Cells,Q4,1
https://openalex.org/W2088394602,Spirometry Quality in Adults With Very Severe Lung Function Impairment,Q2,1
https://openalex.org/W2093655499,Muscle Impairment in Neuromuscular Disease Using an Expiratory/Inspiratory Pressure Ratio,Q2,1
https://openalex.org/W2108623340,Bootstrapping fuzzy scalar field theory,Q1,1
https://openalex.org/W2110392924,The influence of sighing respirations on infant lung function measured using multiple breath washout gas mixing techniques,Q2,1
https://openalex.org/W2114631371,Association of pulse wave velocity with total lung capacity: A cross-sectional analysis of the BOLD London study,Q2,1
https://openalex.org/W2115863695,Characterization of Erwinia chrysanthemi isolates inciting stalk rot disease of sorghum,Q4,1
https://openalex.org/W2116974243,"High Throughput Analytical Techniques for the Determination and Confirmation of Residues of 653 Multiclass Pesticides and Chemical Pollutants in Tea by GC/MS, GC/MS/MS, and LC/MS/MS: Collaborative Study, First Action 2014.09",Q2,1
https://openalex.org/W2120722331,ActivePapers: a platform for publishing and archiving computer-aided research,"Q1, Q8",2
https://openalex.org/W2125151454,Gravitational radiation in massless-particle collisions,"Q1, Q15",2
https://openalex.org/W2126645252,Reproducing Statistical Results,Q1,1
https://openalex.org/W2128262590,From spin vertex to string vertex,Q1,1
https://openalex.org/W2129214780,"Axonal, bladder and bowel impairment: evidence based clinical review of gaps in guidelines for spinal stenosis",Q2,1
https://openalex.org/W2133561834,Defects and quantum Seiberg-Witten geometry,Q1,1
https://openalex.org/W2133700167,"2015 Heart Rhythm Society Expert Consensus Statement on the Diagnosis and Treatment of Postural Tachycardia Syndrome, Inappropriate Sinus Tachycardia, and Vasovagal Syncope",Q2,1
https://openalex.org/W2139408302,Matrix Infrared Spectra and Density Functional Calculations of <scp>CH<sub>2</sub>Cl–Cl</scp> and <scp>CH<sub>2</sub>Br–Br</scp> Produced by Laser‐ablated Metal Plume Irradiation,Q1,1
https://openalex.org/W2141133262,Accessory Vein Obliteration for Early Fistula Failure: A Myth or Reality?,Q2,1
https://openalex.org/W2152784970,IMPORTANCE OF CLASSICAL MORPHOLOGY IN THE DIAGNOSIS OF MYELODYSPLASTIC SYNDROME,Q2,1
https://openalex.org/W2153715611,Oral and inhaled p38 MAPK inhibitors: effects on inhaled LPS challenge in healthy subjects,Q2,1
https://openalex.org/W2158609170,A thorium metallacyclopentadiene complex: a combined experimental and computational study,Q1,1
https://openalex.org/W2159101744,Clinical Relevance of Fixed Ratio vs Lower Limit of Normal of FEV1/FVC in COPD: Patient-Reported Outcomes From the CanCOLD Cohort,Q2,1
https://openalex.org/W2164516301,Using a suite of ontologies for preserving workflow-centric research objects,"Q1, Q6",2
https://openalex.org/W2167942899,The updated Cochrane review 2014 on GnRH agonist trigger: repeating the same errors,Q2,1
https://openalex.org/W2173492565,Ice–ocean coupled computations for sea-ice prediction to support ice navigation in Arctic sea routes,Q1,1
https://openalex.org/W2175235927,Biomimetic Copper(I)-Mediated Activation of Dioxygen and Redox Non-Innocence in Copper(II) Complexes of Bis(oxazoline)s,Q1,1
https://openalex.org/W2175380038,Reproducible Research in Vadose Zone Sciences,Q1,1
https://openalex.org/W2179266619,The Bologna criteria for poor ovarian response: a contemporary critical appraisal,Q2,1
https://openalex.org/W2181986511,Reproducible Research in the Fields of Epidemiology and Public Health,Q1,1
https://openalex.org/W2182565768,ERS statement on the multidisciplinary respiratory management of ataxia telangiectasia,Q2,1
https://openalex.org/W2186559362,Role of sublingual immunotherapy and probiotics in clinical improvements of childhood asthma,Q2,1
https://openalex.org/W2189658446,Ab initio molecular dynamics of liquid water using embedded-fragment second-order many-body perturbation theory towards its accurate property prediction,Q1,1
https://openalex.org/W2191243614,Five selfish reasons to work reproducibly,Q1,1
https://openalex.org/W2191425226,"“High-precision, reconstructed 3D model” of skull scanned by conebeam CT: Reproducibility verified using CAD/CAM data",Q6,1
https://openalex.org/W2191577667,Tuning the Emission of Cationic Iridium (III) Complexes Towards the Red Through Methoxy Substitution of the Cyclometalating Ligand,Q1,1
https://openalex.org/W2193314822,Walking the Talk: Adopting and Adapting Sustainable Scientific Software Development processes in a Small Biology Lab,Q1,1
https://openalex.org/W2196363070,Formation of Very Young Massive Clusters and Implications for Globular Clusters,Q1,1
https://openalex.org/W2200241032,"Big data provenance: Challenges, state of the art and opportunities","Q1, Q4",2
https://openalex.org/W2201232492,Quality assessment for hyperspectral airborne systems,Q4,1
https://openalex.org/W2201472204,The diagnosis of COPD in primary care; gender differences and the role of spirometry,Q2,1
https://openalex.org/W2202894677,HPA axis before and after clinically effective treatment in psychiatric patients: Can hair cortisol estimations help to confirm longterm effectiveness of treatment in these patients?,Q2,1
https://openalex.org/W2205116912,Introduction to the Rosetta Special Collection,Q6,1
https://openalex.org/W2208056883,The strange case of reproducibility versus representativeness in contextual suggestion test collections,Q2,1
https://openalex.org/W2209145702,Metachronous Occurrence of Granular Cell Tumor in Breast Skin and Scalp: Diagnostic Challenging Differentiating Benign from Malignant and a Literature Review,Q2,1
https://openalex.org/W2211513507,Um estudo computacional de equações pseudo-parabólicas para mecânica dos fluidos e fenômenos de transporte em meios porosos,Q1,1
https://openalex.org/W2219142985,A Guide to Studying Human Hair Follicle Cycling In Vivo,Q2,1
https://openalex.org/W2222542722,Computational identification and analysis of signaling subnetworks with distinct functional roles in the regulation of TNF production,Q1,1
https://openalex.org/W2222949832,Biofeedback Therapy After Sphincter-Preservation Surgery for the Treatment of Rectal Cancer,Q2,1
https://openalex.org/W2224340517,Computational Reproducibility in Archaeological Research: Basic Principles and a Case Study of Their Implementation,Q1,1
https://openalex.org/W2227432403,Review of the quality of total mesorectal excision does not improve the prediction of outcome,Q2,1
https://openalex.org/W2227596131,ChIP-seq reveals mutation-specific pathomechanisms of HOXD13 missense mutations,Q2,1
https://openalex.org/W2228889951,Thermo-Hygral Case-Study on Full Scale RC Building under Corrosive Environment and Seismic Actions,Q1,1
https://openalex.org/W2236457265,Electronically Excited States of Higher Acenes up to Nonacene: A Density Functional Theory/Multireference Configuration Interaction Study,Q1,1
https://openalex.org/W2244337915,Prognostic value of interim and end-of-treatment FDG-PET in follicular lymphoma: a systematic review,Q2,1
https://openalex.org/W2254230151,Violation of DNA neighbor exclusion principle in RNA recognition,Q1,1
https://openalex.org/W2257705098,Squaring the circle of selection and allocation in liver transplantation for HCC: An adaptive approach,Q2,1
https://openalex.org/W2260242520,Validation of methodology for assessment of pulmonary function in patients who undergo total laryngectomy,Q2,1
https://openalex.org/W2263999860,Compassion in Organizations: Sensemaking and Embodied Experience in Emergent Relational Capability A phenomenological study in South African human service organizations,Q6,1
https://openalex.org/W2264254864,OPTIMAL SHAPES OF WEIRS FOR TRAPPING MIGRATORY FISH,Q1,1
https://openalex.org/W2264565276,Accuracy of doppler ultrasonography in the evaluation of hemodialysis arteriovenous fistula maturity,Q2,1
https://openalex.org/W2265881670,Feasibility of spirometry in primary care to screen for COPD: a pilot study,Q2,1
https://openalex.org/W2265937505,Thioxanthone in apolar solvents: ultrafast internal conversion precedes fast intersystem crossing,Q1,1
https://openalex.org/W2268134772,Performance of the Cellslide&lt;sup&gt;®&lt;/sup&gt; automated liquid-based cytology system amongst HIV-positive women,Q2,1
https://openalex.org/W2270275322,"Reproducibility, Verification, and Validation of Experiments on the Marschner-Lobb Test Signal",Q6,1
https://openalex.org/W2273995878,How to reproducibly measure the unintended EM-emission from handheld devices,Q4,1
https://openalex.org/W2274692592,Catalysis and Molecular Recognition: Harnessing Hydrogen Bonds and the Power of Charged Substituents,Q1,1
https://openalex.org/W2276102670,Statistical Anisotropy and non-Gaussianity from the Early Universe,Q1,1
https://openalex.org/W2281418422,Quality Assessment for Hyperpspectral Airborne Systems,Q4,1
https://openalex.org/W2284470477,A beneficial tumor microenvironment in oropharyngeal squamous cell carcinoma is characterized by a high T cell and low IL-17+ cell frequency,Q2,1
https://openalex.org/W2287290337,Efficient Spectrum Management as an Enabler Towards 5G Cellular Systems,Q4,1
https://openalex.org/W2288599124,"EuroRV3 2015 EuroVis Workshop on Reproducibility, Verification, and Validation in Visualization",Q6,1
https://openalex.org/W2290245323,Optimization of analytical methodology for the estimation of specific residues in spices.,Q2,1
https://openalex.org/W2290616812,Determination of the optimal fat amount in dry-ripened venison sausage,Q6,1
https://openalex.org/W2290714807,A Cloud-Based Platform for Democratizing and Socializing the Benchmarking Process,Q1,1
https://openalex.org/W2291063398,Precision calculation of 1/4-BPS Wilson loops in AdS5×S5,Q1,1
https://openalex.org/W2292996262,Kβ Valence to Core X-ray Emission Studies of Cu(I) Binding Proteins with Mixed Methionine – Histidine Coordination. Relevance to the Reactivity of the M- and H-sites of Peptidylglycine Monooxygenase,Q1,1
https://openalex.org/W2293022648,BME VIK Annual Research Report on Electrical Engineering and Computer Science 2015,Q6,1
https://openalex.org/W2295119862,A collaborative approach to computational reproducibility,Q1,1
https://openalex.org/W2295176745,Scalable document hashing and retrieval,Q4,1
https://openalex.org/W2300554069,Tools and techniques for computational reproducibility,Q1,1
https://openalex.org/W2300868420,An artificial immune system with continuous-learning for voltage disturbance diagnosis in electrical distribution systems,Q1,1
https://openalex.org/W2306374695,A Meta-Analysis of the Metabolic Syndrome Prevalence in the Global HIV-Infected Population,Q2,1
https://openalex.org/W2312913270,Turbulence Modeling for Realistic Computation of Internal Flow in Liquid Ejector Pumps,Q1,1
https://openalex.org/W2313260866,Structure and bonding of water molecules in zeolite hosts: Benchmarking plane-wave DFT against crystal structure data,Q1,1
https://openalex.org/W2313761097,"Sports-related concussions: diagnosis, complications, and current management strategies",Q2,1
https://openalex.org/W2326132732,A Dislocation-based Crystal Plasticity Simulation on Kink Band Formation in Single Crystal of Mg-Based LPSO Phase,Q1,1
https://openalex.org/W2328091209,Conformational diversity and enantioconvergence in potato epoxide hydrolase 1,Q1,1
https://openalex.org/W2328104934,Theoretical study of plasmonic lasing in junctions with many molecules,Q1,1
https://openalex.org/W2337882641,Nomenclature Revision for Encapsulated Follicular Variant of Papillary Thyroid Carcinoma,Q2,1
https://openalex.org/W2337988522,FRETBursts: An Open Source Toolkit for Analysis of Freely-Diffusing Single-Molecule FRET,Q1,1
https://openalex.org/W2338528380,Tumor volume reduction by neoadjuvant chemotherapy is a good indicator of post-resection outcome of liver metastases from colorectal cancer,Q2,1
https://openalex.org/W2338656309,"Lung Function, Respiratory Muscle Strength, and Thoracoabdominal Mobility in Women With Fibromyalgia Syndrome",Q2,1
https://openalex.org/W2338926918,KRAS Mutant Pancreatic Cancer: No Lone Path to an Effective Treatment,Q4,1
https://openalex.org/W2339765565,Reduced Circumferential Resection Margin Involvement in Rectal Cancer Surgery: Results of the Dutch Surgical Colorectal Audit,Q2,1
https://openalex.org/W2339828554,Computational Reproducibility in Production Physics Applications,Q1,1
https://openalex.org/W2340122901,DIVISION A COMMISSION 31: TIME,Q6,1
https://openalex.org/W2340344760,Does Declaration of Brain Death Serve the Best Interest of Organ Donors Rather Than Merely Facilitating Organ Transplantation?,Q2,1
https://openalex.org/W2340868132,Findings from two large randomized controlled trials on renal replacement therapy in acute kidney injury,Q2,1
https://openalex.org/W2341066791,Preoperative radiological assessment of pathologic response in colorectal cancer liver metastases treated with neoadjuvant therapy,Q2,1
https://openalex.org/W2341187717,"From genomes to phenotypes: Traitar, the microbial trait analyzer",Q1,1
https://openalex.org/W2341765619,Advanced geometric calibration and control for medical X-ray systems,Q4,1
https://openalex.org/W2342079445,ALPPS vs. major hepatectomy after neoadjuvant chemotherapy for colorectal metastases,Q2,1
https://openalex.org/W2342932349,Sharing of Nonlocality of a Single Member of an Entangled Pair of Qubits Is Not Possible by More than Two Unbiased Observers on the Other Wing,Q4,1
https://openalex.org/W2344597643,Patent Law's Reproducibility Paradox.,"Q1, Q4, Q7, Q8",4
https://openalex.org/W2346031991,Interobserver Variation Among Pathologists in Evaluating Perineural Invasion for Oral Squamous Cell Carcinoma,Q2,1
https://openalex.org/W2346765943,Functional lung rejuvenation in obese patients after bariatric surgery,"Q2, Q13",2
https://openalex.org/W2367990842,The Application of Quantitative Structure Activity Relationship Models to the Method Development of Countercurrent Chromatography,Q2,1
https://openalex.org/W2376165744,Research on the Protection of Intellectual Property Rights of Intangible Cultural Heritage,Q4,1
https://openalex.org/W2390855733,Neurogenic lower urinary tract dysfunction: Clinical management recommendations of the Neurologic Incontinence committee of the fifth International Consultation on Incontinence 2013,Q2,1
https://openalex.org/W2395457006,Estimating glomerular filtration rate in kidney transplantation: Still searching for the best marker,Q2,1
https://openalex.org/W2397911190,Mechanism of Long-Term Excessive Deformation and Delayed Shear Failure of Underground RC Box Culverts,Q1,1
https://openalex.org/W2399786690,The academic journeys of returning postgraduate students: perceptions of appropriate educational provision for their web-based learning,Q4,1
https://openalex.org/W2400707360,Pulmonary Function Testing in Preschool Asthmatic Children,Q2,1
https://openalex.org/W2401562030,A manifesto for data sharing in social media research,Q4,1
https://openalex.org/W2401910625,Recommendations for open data science,"Q1, Q3, Q7",3
https://openalex.org/W2406548584,"GlobalSums, Version 1.x",Q1,1
https://openalex.org/W2408830764,Facile hydrogen atom transfer to iron(<scp>iii</scp>) imido radical complexes supported by a dianionic pentadentate ligand,Q1,1
https://openalex.org/W2410567271,Primary Wrist Hemiarthroplasty for Irreparable Distal Radius Fracture in the Independent Elderly,Q2,1
https://openalex.org/W2411829055,Glacier surface mass balance modeling in the inner tropics using a positive degree-day approach,Q1,1
https://openalex.org/W2417077379,Performance Evaluation of the Plateletworks<sup>®</sup> in the Measurement of Blood Cell Counts as compared to the Beckman Coulter Unicel DXH 800,Q4,1
https://openalex.org/W2418037136,Clinical characteristics of children and adolescents with severe therapy-resistant asthma in Brazil,Q2,1
https://openalex.org/W2420853400,Model Driven Engineering,Q1,1
https://openalex.org/W2431100065,ReproZip,Q4,1
https://openalex.org/W2440456534,Validated Screening Tools for Common Mental Disorders in Low and Middle Income Countries: A Systematic Review,"Q2, Q13",2
https://openalex.org/W2462621041,Physical Activity in Early Adolescence and Pulmonary Function Gain From 15 to 18 Years of Age in a Birth Cohort in Brazil,Q2,1
https://openalex.org/W2465500687,Inhomogeneous Response of Articular Cartilage: A Three-Dimensional Multiphasic Heterogeneous Study,"Q1, Q15",2
https://openalex.org/W2466004295,Enhanced performance of CH3NH3PbI3−x Cl x perovskite solar cells by CH3NH3I modification of TiO2-perovskite layer interface,Q6,1
https://openalex.org/W2466372953,"Best practices for replicability, reproducibility and reusability of computer-based experiments exemplified by model reduction software","Q1, Q4",2
https://openalex.org/W2470247221,Advances in wireless community networks with the community-lab testbed,Q6,1
https://openalex.org/W2472100260,"Reply to comment by K.A. Duderstadt et al. on ""Atmospheric ionization by high-fluence, hard spectrum solar proton events and their probable appearance in the ice core archive""",Q1,1
https://openalex.org/W2475153948,Variability of intraoperative electrostimulation parameters in conscious individuals: language cortex,Q2,1
https://openalex.org/W2475328579,Log::ProgramInfo: A Perl module to collect and log data for bioinformatics pipelines,Q1,1
https://openalex.org/W2479914818,Order-Invariant Real Number Summation: Circumventing Accuracy Loss for Multimillion Summands on Multiple Parallel Architectures,Q1,1
https://openalex.org/W2482791527,"What difference does a thiophene make? Evaluation of a 4,4′-bis(thiophene) functionalised 2,2′-bipyridyl copper(I) complex in a dye-sensitized solar cell",Q1,1
https://openalex.org/W2485039902,"Management of Postural Tachycardia Syndrome, Inappropriate Sinus Tachycardia and Vasovagal Syncope",Q2,1
https://openalex.org/W2485383261,Cervical Cancer Screening at a Crossroads: Learnings from the Past Driving Change for the Future,Q2,1
https://openalex.org/W2488013516,Respiratory muscle strength and aerobic performance of wheelchair basketball players,Q2,1
https://openalex.org/W2496032671,Handling Metadata in a Neurophysiology Laboratory,Q6,1
https://openalex.org/W2497837992,Lung Function Monitoring; A Randomized Agreement Study,"Q2, Q13",2
https://openalex.org/W2499372156,Surface acoustic wave devices for gas sensing applications,Q6,1
https://openalex.org/W2501110492,Screening women for cervical cancer carcinoma with a HPV mRNA test: first results from the Venice pilot program,Q2,1
https://openalex.org/W2507200390,"Full Computational Reproducibility in Biological Science: Methods, Software and a Case Study in Protein Biology",Q1,1
https://openalex.org/W2507351530,Developing multidimensional metrics for evaluating paediatric neurodevelopmental disorders,Q1,1
https://openalex.org/W2508769078,Cough peak flow in preschoolers: success rate and test-retest reproducibility,Q2,1
https://openalex.org/W2509516423,Evaluation of pulmonary function and respiratory symptoms in pyrochlore mine workers,Q2,1
https://openalex.org/W2509899640,A cloud-based workflow to quantify transcript-expression levels in public cancer compendia,Q1,1
https://openalex.org/W2510443553,"Products and organizations, mirrors in a funhouse: three essays on the mirroring hypothesis","Q2, Q12",2
https://openalex.org/W2511652890,Soft tissue masses with myxoid stroma: Can conventional magnetic resonance imaging differentiate benign from malignant tumors?,Q2,1
https://openalex.org/W2512433618,Direct observation of rotation and steps of the archaellum in the swimming halophilic archaeon Halobacterium salinarum,Q1,1
https://openalex.org/W2513869748,"Growth, lung function, and physical activity in schoolchildren who were very-low-birth-weight preterm infants","Q2, Q13",2
https://openalex.org/W2513940473,"Ciencia reproducible: ¿qué, por qué, cómo?",Q1,1
https://openalex.org/W2515940927,Interobserver agreement in the cytologic grading of atypia in neoplastic pancreatic mucinous cysts with the 2‐tiered approach,Q2,1
https://openalex.org/W2517853642,Open Computational Tools for Freely Diffusing Single-Molecule Fluorescence Analysis,Q1,1
https://openalex.org/W2518938523,The Evolution of Data Quality: Understanding the Transdisciplinary Origins of Data Quality Concepts and Approaches,"Q1, Q7, Q8",3
https://openalex.org/W2519404080,Petra's Hinterland from the Nabataean through Early Byzantine Periods (ca. 63 BC-AD 500).,Q4,1
https://openalex.org/W2519496199,P03 Spirometry and survival in large UK population samples of lifelong non-smokers,Q2,1
https://openalex.org/W2519982967,Physical Forces Shape Group Identity of Swimming Pseudomonas putida Cells,Q1,1
https://openalex.org/W2520280309,Supervised learning in spiking neural networks with FORCE training,Q6,1
https://openalex.org/W2524243549,Success rate of preschool and school children with/without respiratory symptoms in pulmonary function tests,Q2,1
https://openalex.org/W2526950746,What is computational reproducibility?,Q1,1
https://openalex.org/W2527714917,Helping Clinical Educators Provide Effective Feedback to Medical Trainees on Their Diagnostic Decision Making: An Educational Design Research Approach,"Q2, Q13",2
https://openalex.org/W2527959187,Effects of vitamin D supplementation on pulmonary function in postmenopausal women following an aquatic exercise program,Q2,1
https://openalex.org/W2528483278,Reproducibility and replicability of rodent phenotyping in preclinical studies,Q1,1
https://openalex.org/W2528816092,The Global Genome Biodiversity Network (GGBN) Data Standard specification,Q6,1
https://openalex.org/W2529146392,QInfer: Statistical inference software for quantum applications,Q1,1
https://openalex.org/W2529530777,Building a Cloud Service for Reproducible Simulation Management,Q4,1
https://openalex.org/W2529806245,The Value of P,Q2,1
https://openalex.org/W2532232410,Pulmonary Functions are Impaired among Carpet Factory Workers: A Spirometric Evaluation,"Q2, Q13",2
https://openalex.org/W2536186116,Sarcopenia as an Independent Risk Factor for Decreased BMD in COPD Patients: Korean National Health and Nutrition Examination Surveys IV and V (2008-2011),Q2,1
https://openalex.org/W253825705,Interlaboratory Proficiency Test 06/2014 - Gross and net calorific value in fuels,Q4,1
https://openalex.org/W2541490763,Storing Reproducible Results from Computational Experiments using Scientific Python Packages,Q1,1
https://openalex.org/W2543295506,Prevalence of alpha-1 antitrypsin deficiency and allele frequency in patients with COPD in Brazil,"Q2, Q13",2
https://openalex.org/W2547199339,Multispot single-molecule FRET: high-throughput analysis of freely diffusing molecules,Q1,1
https://openalex.org/W2547503455,"Degrees of Freedom in Planning, Running, Analyzing, and Reporting Psychological Studies: A Checklist to Avoid p-Hacking",Q6,1
https://openalex.org/W2547952971,Implementing Spirometry-Driven Evidence-Based Asthma Care in a Primary Care Practice,Q2,1
https://openalex.org/W2548145702,Discordance between ICD-Coded Myocardial Infarction and Diagnosis according to the Universal Definition of Myocardial Infarction,Q2,1
https://openalex.org/W2548335578,Mucinous Neoplasms Of The Appendix And Peritoneum: Virtual Microscopy For Histomorphologic Assessment And Interobserver Diagnostic Reproducibility,Q2,1
https://openalex.org/W2550615507,Reproducible Diagnosis of Chronic Lymphocytic Leukemia (CLL) By Flow Cytometry: An European Research Initiative on CLL (ERIC) &amp; European Society for Clinical Cell Analysis (ESCCA) Harmonisation Project,Q2,1
https://openalex.org/W2550843753,3D Morphometric Evaluation of Craniofacial Features in Adult Subjects with Marfan Syndrome,Q2,1
https://openalex.org/W2551448504,Exponential Enhancement of the Efficiency of Quantum Annealing by Non-Stoquastic Hamiltonians,Q1,1
https://openalex.org/W2553487684,An historic and scientific study of the properties of metal(III) tris-acetylacetonates,Q6,1
https://openalex.org/W2556334622,Objective criteria for septal fibrosis in non-ischemic dilated cardiomyopathy: validation for the prediction of future cardiovascular events,Q2,1
https://openalex.org/W2558854621,First order reversal curves and intrinsic parameter determination for magnetic materials; limitations of hysteron-based approaches in correlated systems,Q1,1
https://openalex.org/W2558871324,Consensus guidelines for the diagnosis and management of patients with classic hairy cell leukemia,Q2,1
https://openalex.org/W2559307418,ReproZip: The Reproducibility Packer,Q1,1
https://openalex.org/W2560606378,Nanomechanical motion transduction with a scalable localized gap plasmon architecture,Q1,1
https://openalex.org/W2561613850,System-specific periodicity in quantitative real-time polymerase chain reaction data questions threshold-based quantitation,Q1,1
https://openalex.org/W2561942675,"Transparency, Reproducibility, and the Credibility of Economics Research","Q1, Q7, Q8, Q9, Q10, Q15",6
